name,strand,chr,intersections
YLL026W,+,chrXII,1085
YLL025W,+,chrXII,10
YLL024C,-,chrXII,5047
YLL023C,-,chrXII,93
YLL022C,-,chrXII,171
YLL021W,+,chrXII,1450
YLL020C,-,chrXII,18
YLL019W-A,+,chrXII,2
YLL019C,-,chrXII,89
YLL018C-A,-,chrXII,1
YLL018C,-,chrXII,1218
YLL017W,+,chrXII,74
YLL016W,+,chrXII,47
YLL015W,+,chrXII,238
YLL014W,+,chrXII,95
YLL013C,-,chrXII,388
YLL012W,+,chrXII,39
YLL011W,+,chrXII,729
YLL010C,-,chrXII,127
YLL009C,-,chrXII,370
YLL008W,+,chrXII,1622
YLL007C,-,chrXII,51
YLL006W-A,+,chrXII,11
YLL006W,+,chrXII,66
YLL005C,-,chrXII,36
YLL004W,+,chrXII,81
YLL003W,+,chrXII,110
YLL002W,+,chrXII,42
YLL001W,+,chrXII,106
YLR001C,-,chrXII,105
YLR002C,-,chrXII,580
YLR003C,-,chrXII,928
YLR004C,-,chrXII,383
YLR005W,+,chrXII,272
YLR006C,-,chrXII,181
YLR007W,+,chrXII,76
YLR008C,-,chrXII,267
YLR009W,+,chrXII,1400
YLR010C,-,chrXII,17
YLR011W,+,chrXII,64
YLR012C,-,chrXII,8
YLR013W,+,chrXII,12
YLR014C,-,chrXII,97
YLR015W,+,chrXII,131
YLR016C,-,chrXII,63
YLR017W,+,chrXII,182
YLR018C,-,chrXII,261
YLR019W,+,chrXII,212
YLR020C,-,chrXII,162
YLR021W,+,chrXII,143
YLR022C,-,chrXII,754
YLR023C,-,chrXII,574
YLR024C,-,chrXII,167
YLR025W,+,chrXII,614
YLR026C,-,chrXII,496
YLR027C,-,chrXII,640
YLR028C,-,chrXII,538
YLR029C,-,chrXII,2792
YLR030W,+,chrXII,20
YLR031W,+,chrXII,10
YLR032W,+,chrXII,193
YLR033W,+,chrXII,293
YLR034C,-,chrXII,197
YLR035C,-,chrXII,48
YLR035C-A,-,chrXII,49873
YLR036C,-,chrXII,61
YLR037C,-,chrXII,12
YLR038C,-,chrXII,727
YLR039C,-,chrXII,227
YLR041W,+,chrXII,3
YLR040C,-,chrXII,17
YLR042C,-,chrXII,46
YLR043C,-,chrXII,370
YLR044C,-,chrXII,13225
YLR045C,-,chrXII,453
YLR046C,-,chrXII,28
YLR047C,-,chrXII,39
YLR048W,+,chrXII,43
YLR048W,+,chrXII,8024
YLR049C,-,chrXII,128
YLR050C,-,chrXII,127
YLR051C,-,chrXII,709
YLR052W,+,chrXII,322
YLR053C,-,chrXII,18
YLR054C,-,chrXII,90
YLR054C,-,chrXII,5
YLR055C,-,chrXII,88
YLR056W,+,chrXII,954
YLR057W,+,chrXII,264
YLR058C,-,chrXII,150
YLR059C,-,chrXII,883
YLR060W,+,chrXII,284
YLR061W,+,chrXII,264
YLR061W,+,chrXII,3483
YLR062C,-,chrXII,11
YLR063W,+,chrXII,69
YLR064W,+,chrXII,192
YLR065C,-,chrXII,210
YLR066W,+,chrXII,213
YLR067C,-,chrXII,91
YLR068W,+,chrXII,570
YLR069C,-,chrXII,249
YLR070C,-,chrXII,41
YLR071C,-,chrXII,145
YLR072W,+,chrXII,14852
YLR073C,-,chrXII,84
YLR074C,-,chrXII,519
YLR075W,+,chrXII,1682
YLR076C,-,chrXII,9
YLR077W,+,chrXII,93
YLR078C,-,chrXII,189
YLR078C,-,chrXII,6
YLR079W,+,chrXII,364
YLR080W,+,chrXII,38
YLR081W,+,chrXII,301
YLR082C,-,chrXII,119
YLR083C,-,chrXII,231
YLR084C,-,chrXII,181
YLR085C,-,chrXII,106
YLR086W,+,chrXII,658
YLR087C,-,chrXII,286
YLR088W,+,chrXII,279
YLR089C,-,chrXII,194
YLR090W,+,chrXII,48
YLR091W,+,chrXII,40
YLR092W,+,chrXII,49
YLR093C,-,chrXII,205
YLR093C,-,chrXII,6
YLR094C,-,chrXII,141
YLR095C,-,chrXII,506
YLR096W,+,chrXII,246
YLR097C,-,chrXII,75
YLR098C,-,chrXII,137
YLR099C,-,chrXII,153
YLR099W-A,+,chrXII,129
YLR100W,+,chrXII,539
YLR101C,-,chrXII,49
YLR102C,-,chrXII,80
YLR103C,-,chrXII,114
YLR104W,+,chrXII,168
YLR105C,-,chrXII,90
YLR106C,-,chrXII,5511
YLR107W,+,chrXII,162
YLR108C,-,chrXII,912
YLR109W,+,chrXII,4352
YLR110C,-,chrXII,9458
YLR111W,+,chrXII,7
YLR112W,+,chrXII,490
YLR113W,+,chrXII,387
YLR114C,-,chrXII,188
YLR115W,+,chrXII,283
YLR116W,+,chrXII,73
YLR117C,-,chrXII,192
YLR118C,-,chrXII,91
YLR119W,+,chrXII,93
YLR120C,-,chrXII,424
YLR120W-A,+,chrXII,34
YLR121C,-,chrXII,791
YLR122C,-,chrXII,8
YLR123C,-,chrXII,7
YLR124W,+,chrXII,26
YLR125W,+,chrXII,35
YLR126C,-,chrXII,48
YLR127C,-,chrXII,112
YLR128W,+,chrXII,4
YLR128W,+,chrXII,29
YLR129W,+,chrXII,717
YLR130C,-,chrXII,394
YLR131C,-,chrXII,98
YLR132C,-,chrXII,98
YLR133W,+,chrXII,186
YLR134W,+,chrXII,1296
YLR135W,+,chrXII,180
YLR136C,-,chrXII,68
YLR137W,+,chrXII,83
YLR138W,+,chrXII,1262
YLR139C,-,chrXII,90
YLR140W,+,chrXII,10
YLR141W,+,chrXII,41
YLR142W,+,chrXII,363
YLR143W,+,chrXII,220
YLR144C,-,chrXII,67
YLR145W,+,chrXII,164
YLR146C,-,chrXII,54
YLR146W-A,+,chrXII,110
YLR147C,-,chrXII,71
YLR148W,+,chrXII,184
YLR149C,-,chrXII,31
YLR149C-A,-,chrXII,7
YLR150W,+,chrXII,3635
YLR151C,-,chrXII,85
YLR152C,-,chrXII,106
YLR153C,-,chrXII,1622
YLR154C,-,chrXII,123
YLR154W-A,+,chrXII,6
YLR154W-B,+,chrXII,8
YLR154W-C,+,chrXII,23
YLR154W-E,+,chrXII,57
YLR154W-F,+,chrXII,29
YLR154C-G,-,chrXII,36945
YLR154C-H,-,chrXII,174
YLR155C,-,chrXII,974
YLR156W,+,chrXII,593
YLR156C-A,-,chrXII,10
YLR157C,-,chrXII,962
YLR157W-D,+,chrXII,248
YLR157C-B,-,chrXII,71385
YLR157C-B,-,chrXII,21482
YLR157C-A,-,chrXII,21497
YLR157W-E,+,chrXII,607
YLR157C-C,-,chrXII,2827
YLR158C,-,chrXII,964
YLR159W,+,chrXII,584
YLR159C-A,-,chrXII,7
YLR160C,-,chrXII,974
YLR161W,+,chrXII,582
YLR162W,+,chrXII,5
YLR162W-A,+,chrXII,12
YLR163W-A,+,chrXII,13
YLR163C,-,chrXII,198
YLR164W,+,chrXII,14
YLR165C,-,chrXII,49
YLR166C,-,chrXII,159
YLR167W,+,chrXII,6804
YLR168C,-,chrXII,402
YLR169W,+,chrXII,15
YLR171W,+,chrXII,16
YLR170C,-,chrXII,456
YLR172C,-,chrXII,555
YLR173W,+,chrXII,44
YLR174W,+,chrXII,43
YLR175W,+,chrXII,4799
YLR176C,-,chrXII,177
YLR177W,+,chrXII,63
YLR178C,-,chrXII,30
YLR179C,-,chrXII,235
YLR180W,+,chrXII,377
YLR181C,-,chrXII,292
YLR182W,+,chrXII,305
YLR183C,-,chrXII,207
YLR184W,+,chrXII,42
YLR185W,+,chrXII,36
YLR185W,+,chrXII,5771
YLR186W,+,chrXII,754
YLR187W,+,chrXII,328
YLR188W,+,chrXII,85
YLR189C,-,chrXII,155
YLR190W,+,chrXII,334
YLR191W,+,chrXII,101
YLR192C,-,chrXII,666
YLR193C,-,chrXII,127
YLR194C,-,chrXII,976
YLR195C,-,chrXII,486
YLR196W,+,chrXII,1677
YLR197W,+,chrXII,4473
YLR198C,-,chrXII,41
YLR199C,-,chrXII,71
YLR199C,-,chrXII,1
YLR200W,+,chrXII,776
YLR201C,-,chrXII,44
YLR202C,-,chrXII,47
YLR202C,-,chrXII,85
YLR203C,-,chrXII,108
YLR204W,+,chrXII,504
YLR205C,-,chrXII,442
YLR206W,+,chrXII,171
YLR207W,+,chrXII,98
YLR208W,+,chrXII,1053
YLR209C,-,chrXII,108
YLR210W,+,chrXII,205
YLR211C,-,chrXII,61
YLR211C,-,chrXII,9
YLR212C,-,chrXII,62
YLR213C,-,chrXII,87
YLR214W,+,chrXII,114
YLR215C,-,chrXII,99
YLR217W,+,chrXII,8
YLR216C,-,chrXII,833
YLR218C,-,chrXII,98
YLR219W,+,chrXII,270
YLR220W,+,chrXII,208
YLR221C,-,chrXII,950
YLR222C,-,chrXII,1160
YLR222C-A,-,chrXII,49
YLR223C,-,chrXII,934
YLR224W,+,chrXII,148
YLR225C,-,chrXII,267
YLR226W,+,chrXII,192
YLR227C,-,chrXII,79
YLR227W-A,+,chrXII,19534
YLR227W-B,+,chrXII,19522
YLR227W-B,+,chrXII,46278
YLR228C,-,chrXII,115
YLR230W,+,chrXII,10
YLR229C,-,chrXII,385
YLR232W,+,chrXII,7
YLR231C,-,chrXII,64
YLR233C,-,chrXII,97
YLR234W,+,chrXII,22
YLR235C,-,chrXII,1
YLR236C,-,chrXII,5
YLR237W,+,chrXII,177
YLR238W,+,chrXII,196
YLR239C,-,chrXII,103
YLR240W,+,chrXII,112
YLR241W,+,chrXII,91
YLR242C,-,chrXII,27
YLR243W,+,chrXII,359
YLR244C,-,chrXII,359
YLR245C,-,chrXII,43
YLR246W,+,chrXII,169
YLR247C,-,chrXII,325
YLR248W,+,chrXII,194
YLR249W,+,chrXII,18619
YLR250W,+,chrXII,405
YLR251W,+,chrXII,24
YLR252W,+,chrXII,23
YLR253W,+,chrXII,188
YLR254C,-,chrXII,132
YLR255C,-,chrXII,11
YLR256W,+,chrXII,5165
YLR256W-A,+,chrXII,18841
YLR257W,+,chrXII,1902
YLR258W,+,chrXII,53
YLR259C,-,chrXII,783
YLR260W,+,chrXII,242
YLR261C,-,chrXII,216
YLR262C,-,chrXII,294
YLR262C-A,-,chrXII,1146
YLR263W,+,chrXII,100
YLR264W,+,chrXII,431
YLR264C-A,-,chrXII,4
YLR265C,-,chrXII,58
YLR266C,-,chrXII,51
YLR267W,+,chrXII,48
YLR268W,+,chrXII,386
YLR270W,+,chrXII,114
YLR269C,-,chrXII,1
YLR271W,+,chrXII,143
YLR272C,-,chrXII,130
YLR273C,-,chrXII,40
YLR274W,+,chrXII,126
YLR275W,+,chrXII,31
YLR275W,+,chrXII,84
YLR276C,-,chrXII,1000
YLR277C,-,chrXII,354
YLR278C,-,chrXII,200
YLR279W,+,chrXII,3
YLR280C,-,chrXII,39
YLR281C,-,chrXII,39
YLR283W,+,chrXII,62
YLR282C,-,chrXII,6
YLR284C,-,chrXII,55
YLR285W,+,chrXII,263
YLR285C-A,-,chrXII,906
YLR286W-A,+,chrXII,5
YLR286C,-,chrXII,1222
YLR287C,-,chrXII,364
YLR287C-A,-,chrXII,6106
YLR287C-A,-,chrXII,127
YLR288C,-,chrXII,135
YLR289W,+,chrXII,63
YLR290C,-,chrXII,80
YLR291C,-,chrXII,233
YLR292C,-,chrXII,553
YLR293C,-,chrXII,1837
YLR294C,-,chrXII,1538
YLR295C,-,chrXII,1542
YLR296W,+,chrXII,188
YLR297W,+,chrXII,130
YLR298C,-,chrXII,274
YLR299W,+,chrXII,169
YLR299C-A,-,chrXII,2
YLR300W,+,chrXII,2418
YLR301W,+,chrXII,304
YLR303W,+,chrXII,319
YLR302C,-,chrXII,1608
YLR304C,-,chrXII,722
YLR305C,-,chrXII,385
YLR306W,+,chrXII,29
YLR306W,+,chrXII,33
YLR307W,+,chrXII,15
YLR307C-A,-,chrXII,8
YLR308W,+,chrXII,12
YLR309C,-,chrXII,1471
YLR310C,-,chrXII,559
YLR311C,-,chrXII,117
YLR312C,-,chrXII,47
YLR312W-A,+,chrXII,252
YLR313C,-,chrXII,26
YLR314C,-,chrXII,560
YLR315W,+,chrXII,12
YLR317W,+,chrXII,38
YLR316C,-,chrXII,76
YLR316C,-,chrXII,29
YLR316C,-,chrXII,29
YLR318W,+,chrXII,1215
YLR319C,-,chrXII,143
YLR320W,+,chrXII,131
YLR322W,+,chrXII,8
YLR321C,-,chrXII,277
YLR323C,-,chrXII,143
YLR324W,+,chrXII,149
YLR325C,-,chrXII,11078
YLR326W,+,chrXII,69
YLR327C,-,chrXII,190
YLR328W,+,chrXII,137
YLR329W,+,chrXII,13
YLR329W,+,chrXII,24
YLR330W,+,chrXII,1307
YLR332W,+,chrXII,310
YLR331C,-,chrXII,4
YLR333C,-,chrXII,2344
YLR334C,-,chrXII,17
YLR335W,+,chrXII,962
YLR336C,-,chrXII,438
YLR338W,+,chrXII,7
YLR337C,-,chrXII,134
YLR340W,+,chrXII,3405
YLR339C,-,chrXII,5
YLR341W,+,chrXII,25
YLR342W,+,chrXII,3594
YLR342W-A,+,chrXII,981
YLR343W,+,chrXII,32
YLR344W,+,chrXII,16
YLR344W,+,chrXII,2017
YLR345W,+,chrXII,75
YLR346C,-,chrXII,36
YLR347W-A,+,chrXII,4
YLR347C,-,chrXII,119
YLR349W,+,chrXII,5
YLR348C,-,chrXII,157
YLR350W,+,chrXII,118
YLR351C,-,chrXII,236
YLR352W,+,chrXII,33
YLR353W,+,chrXII,144
YLR354C,-,chrXII,1426
YLR355C,-,chrXII,1655
YLR356W,+,chrXII,28
YLR357W,+,chrXII,433
YLR358C,-,chrXII,6
YLR359W,+,chrXII,174
YLR360W,+,chrXII,109
YLR361C,-,chrXII,100
YLR361C-A,-,chrXII,41
YLR362W,+,chrXII,82
YLR363C,-,chrXII,22
YLR363W-A,+,chrXII,497
YLR364W,+,chrXII,84
YLR365W,+,chrXII,19
YLR366W,+,chrXII,17
YLR364C-A,-,chrXII,4
YLR367W,+,chrXII,38
YLR367W,+,chrXII,1457
YLR368W,+,chrXII,106
YLR369W,+,chrXII,174
YLR370C,-,chrXII,394
YLR371W,+,chrXII,320
YLR372W,+,chrXII,980
YLR373C,-,chrXII,142
YLR375W,+,chrXII,101
YLR374C,-,chrXII,11
YLR376C,-,chrXII,64
YLR377C,-,chrXII,27
YLR379W,+,chrXII,8
YLR378C,-,chrXII,806
YLR380W,+,chrXII,300
YLR381W,+,chrXII,69
YLR382C,-,chrXII,67
YLR383W,+,chrXII,251
YLR384C,-,chrXII,576
YLR385C,-,chrXII,15
YLR386W,+,chrXII,174
YLR387C,-,chrXII,533
YLR388W,+,chrXII,3286
YLR389C,-,chrXII,227
YLR390W,+,chrXII,112
YLR390W-A,+,chrXII,510
YLR392C,-,chrXII,94
YLR393W,+,chrXII,38
YLR394W,+,chrXII,86
YLR395C,-,chrXII,626
YLR396C,-,chrXII,151
YLR397C,-,chrXII,141
YLR398C,-,chrXII,377
YLR399W-A,+,chrXII,2
YLR399C,-,chrXII,1031
YLR400W,+,chrXII,10
YLR401C,-,chrXII,507
YLR402W,+,chrXII,20
YLR403W,+,chrXII,139
YLR404W,+,chrXII,64
YLR405W,+,chrXII,123
YLR406C,-,chrXII,6259
YLR406C,-,chrXII,159
YLR406C-A,-,chrXII,6
YLR407W,+,chrXII,145
YLR408C,-,chrXII,41
YLR409C,-,chrXII,732
YLR410W,+,chrXII,1061
YLR410W-A,+,chrXII,2347
YLR410W-B,+,chrXII,2292
YLR410W-B,+,chrXII,10712
YLR411W,+,chrXII,15
YLR412W,+,chrXII,189
YLR412C-A,-,chrXII,139
YLR413W,+,chrXII,236
YLR414C,-,chrXII,971
YLR415C,-,chrXII,439
YLR416C,-,chrXII,435
YLR417W,+,chrXII,82
YLR418C,-,chrXII,299
YLR419W,+,chrXII,381
YLR420W,+,chrXII,477
YLR421C,-,chrXII,578
YLR422W,+,chrXII,123
YLR423C,-,chrXII,64
YLR424W,+,chrXII,76
YLR425W,+,chrXII,155
YLR426W,+,chrXII,11
YLR426W,+,chrXII,38
YLR427W,+,chrXII,288
YLR429W,+,chrXII,456
YLR428C,-,chrXII,13
YLR430W,+,chrXII,492
YLR431C,-,chrXII,93
YLR432W,+,chrXII,1015
YLR433C,-,chrXII,113
YLR435W,+,chrXII,567
YLR434C,-,chrXII,11
YLR436C,-,chrXII,230
YLR437C,-,chrXII,410
YLR438W,+,chrXII,18
YLR437C-A,-,chrXII,14
YLR438C-A,-,chrXII,405
YLR439W,+,chrXII,176
YLR440C,-,chrXII,54
YLR441C,-,chrXII,8167
YLR442C,-,chrXII,331
YLR443W,+,chrXII,86
YLR444C,-,chrXII,11
YLR445W,+,chrXII,12
YLR445W,+,chrXII,32
YLR446W,+,chrXII,32
YLR447C,-,chrXII,1588
YLR448W,+,chrXII,34
YLR448W,+,chrXII,2735
YLR449W,+,chrXII,2306
YLR450W,+,chrXII,92
YLR451W,+,chrXII,183
YLR452C,-,chrXII,104
YLR453C,-,chrXII,43
YLR454W,+,chrXII,297
YLR455W,+,chrXII,335
YLR456W,+,chrXII,47
YLR458W,+,chrXII,2
YLR457C,-,chrXII,50
YLR459W,+,chrXII,197
YLR460C,-,chrXII,438
YLR461W,+,chrXII,8
YLR462W,+,chrXII,54
YLR464W,+,chrXII,31
YLR464W,+,chrXII,1
YLR463C,-,chrXII,23
YLR466W,+,chrXII,1464
YLR465C,-,chrXII,17
YLR466C-A,-,chrXII,30
YLR466C-B,-,chrXII,108
YLR467W,+,chrXII,1547
YLR467C-A,-,chrXII,30
YML133W-B,+,chrXIII,12
YML133W-A,+,chrXIII,6
YML133C,-,chrXIII,1424
YML133C,-,chrXIII,111
YML132W,+,chrXIII,276
YML131W,+,chrXIII,192
YML130C,-,chrXIII,689
YML129C,-,chrXIII,265
YML128C,-,chrXIII,55
YML127W,+,chrXIII,154
YML126C,-,chrXIII,1574
YML125C,-,chrXIII,1633
YML124C,-,chrXIII,302
YML124C,-,chrXIII,2
YML123C,-,chrXIII,636
YML122C,-,chrXIII,35
YML121W,+,chrXIII,167
YML120C,-,chrXIII,357
YML119W,+,chrXIII,79
YML118W,+,chrXIII,88
YML117W,+,chrXIII,507
YML116W-A,+,chrXIII,257
YML116W,+,chrXIII,243
YML115C,-,chrXIII,319
YML114C,-,chrXIII,334
YML113W,+,chrXIII,94
YML112W,+,chrXIII,54
YML111W,+,chrXIII,179
YML110C,-,chrXIII,485
YML109W,+,chrXIII,153
YML108W,+,chrXIII,365
YML107C,-,chrXIII,78
YML106W,+,chrXIII,1801
YML105C,-,chrXIII,165
YML104C,-,chrXIII,188
YML103C,-,chrXIII,296
YML102W,+,chrXIII,87
YML101C-A,-,chrXIII,130
YML101C,-,chrXIII,129
YML100W-A,+,chrXIII,21
YML100W,+,chrXIII,66
YML099W-A,+,chrXIII,0
YML099C,-,chrXIII,87
YML098W,+,chrXIII,231
YML097C,-,chrXIII,260
YML096W,+,chrXIII,79
YML095C,-,chrXIII,67
YML094W,+,chrXIII,9
YML094W,+,chrXIII,280
YML094C-A,-,chrXIII,22
YML093W,+,chrXIII,1763
YML092C,-,chrXIII,325
YML091C,-,chrXIII,834
YML090W,+,chrXIII,5
YML089C,-,chrXIII,621
YML088W,+,chrXIII,78
YML087C,-,chrXIII,118
YML086C,-,chrXIII,87
YML085C,-,chrXIII,351
YML085C,-,chrXIII,19
YML084W,+,chrXIII,8
YML083C,-,chrXIII,23
YML082W,+,chrXIII,107
YML081C-A,-,chrXIII,1034
YML081W,+,chrXIII,212
YML080W,+,chrXIII,114
YML079W,+,chrXIII,171
YML078W,+,chrXIII,145
YML077W,+,chrXIII,139
YML076C,-,chrXIII,156
YML075C,-,chrXIII,887
YML074C,-,chrXIII,3313
YML073C,-,chrXIII,3326
YML073C,-,chrXIII,21
YML072C,-,chrXIII,1485
YML071C,-,chrXIII,710
YML070W,+,chrXIII,71
YML069W,+,chrXIII,315
YML068W,+,chrXIII,65
YML067C,-,chrXIII,201
YML067C,-,chrXIII,30
YML066C,-,chrXIII,11
YML065W,+,chrXIII,271
YML064C,-,chrXIII,67
YML063W,+,chrXIII,8247
YML062C,-,chrXIII,366
YML061C,-,chrXIII,206
YML060W,+,chrXIII,94
YML059C,-,chrXIII,125
YML058W-A,+,chrXIII,17
YML058W,+,chrXIII,353
YML057W,+,chrXIII,262
YML057C-A,-,chrXIII,5
YML056C,-,chrXIII,1102
YML056C,-,chrXIII,85
YML055W,+,chrXIII,325
YML054C,-,chrXIII,9481
YML054C-A,-,chrXIII,7
YML053C,-,chrXIII,400
YML052W,+,chrXIII,151
YML051W,+,chrXIII,71
YML050W,+,chrXIII,34
YML049C,-,chrXIII,175
YML048W,+,chrXIII,327
YML047W-A,+,chrXIII,68
YML047C,-,chrXIII,11
YML046W,+,chrXIII,50
YML045W-A,+,chrXIII,21634
YML045W,+,chrXIII,21624
YML045W,+,chrXIII,54932
YML043C,-,chrXIII,363
YML042W,+,chrXIII,26
YML041C,-,chrXIII,77
YML040W,+,chrXIII,21482
YML039W,+,chrXIII,21467
YML039W,+,chrXIII,71852
YML038C,-,chrXIII,220
YML037C,-,chrXIII,71
YML036W,+,chrXIII,115
YML036W,+,chrXIII,95
YML035C,-,chrXIII,215
YML034W,+,chrXIII,59
YML034W,+,chrXIII,51
YML034C-A,-,chrXIII,20
YML032C,-,chrXIII,157
YML031W,+,chrXIII,233
YML031C-A,-,chrXIII,9
YML030W,+,chrXIII,181
YML029W,+,chrXIII,102
YML028W,+,chrXIII,2459
YML027W,+,chrXIII,72
YML026C,-,chrXIII,2160
YML026C,-,chrXIII,16
YML025C,-,chrXIII,80
YML025C,-,chrXIII,10
YML024W,+,chrXIII,12
YML024W,+,chrXIII,1510
YML023C,-,chrXIII,28
YML022W,+,chrXIII,499
YML021C,-,chrXIII,108
YML020W,+,chrXIII,199
YML019W,+,chrXIII,58
YML018C,-,chrXIII,299
YML017W,+,chrXIII,12
YML017W,+,chrXIII,163
YML016C,-,chrXIII,200
YML015C,-,chrXIII,523
YML014W,+,chrXIII,197
YML013W,+,chrXIII,272
YML012C-A,-,chrXIII,6
YML012W,+,chrXIII,1160
YML011C,-,chrXIII,73
YML010W,+,chrXIII,692
YML009W-B,+,chrXIII,273
YML009C-A,-,chrXIII,36
YML009C,-,chrXIII,315
YML008C,-,chrXIII,2114
YML007C-A,-,chrXIII,185
YML007W,+,chrXIII,369
YML006C,-,chrXIII,109
YML005W,+,chrXIII,44
YML004C,-,chrXIII,280
YML003W,+,chrXIII,27
YML002W,+,chrXIII,49
YML001W,+,chrXIII,390
YMR001C,-,chrXIII,180
YMR001C-A,-,chrXIII,108
YMR002W,+,chrXIII,702
YMR003W,+,chrXIII,173
YMR004W,+,chrXIII,416
YMR005W,+,chrXIII,424
YMR006C,-,chrXIII,43
YMR007W,+,chrXIII,7
YMR008C,-,chrXIII,405
YMR009W,+,chrXIII,437
YMR010W,+,chrXIII,235
YMR011W,+,chrXIII,2356
YMR012W,+,chrXIII,1485
YMR013C-A,-,chrXIII,2
YMR013C,-,chrXIII,88
YMR013W-A,+,chrXIII,137
YMR014W,+,chrXIII,1443
YMR015C,-,chrXIII,305
YMR016C,-,chrXIII,1104
YMR017W,+,chrXIII,40
YMR018W,+,chrXIII,15
YMR019W,+,chrXIII,198
YMR020W,+,chrXIII,72
YMR021C,-,chrXIII,67
YMR022W,+,chrXIII,216
YMR023C,-,chrXIII,51
YMR024W,+,chrXIII,223
YMR025W,+,chrXIII,115
YMR026C,-,chrXIII,89
YMR027W,+,chrXIII,266
YMR028W,+,chrXIII,173
YMR029C,-,chrXIII,190
YMR030W,+,chrXIII,132
YMR031W-A,+,chrXIII,12
YMR031C,-,chrXIII,447
YMR032W,+,chrXIII,125
YMR030W-A,+,chrXIII,60
YMR033W,+,chrXIII,10
YMR033W,+,chrXIII,388
YMR034C,-,chrXIII,54
YMR035W,+,chrXIII,24
YMR036C,-,chrXIII,102
YMR037C,-,chrXIII,171
YMR038C,-,chrXIII,1097
YMR039C,-,chrXIII,1901
YMR040W,+,chrXIII,79
YMR041C,-,chrXIII,64
YMR042W,+,chrXIII,14
YMR043W,+,chrXIII,697
YMR044W,+,chrXIII,828
YMR045C,-,chrXIII,46166
YMR045C,-,chrXIII,9509
YMR046C,-,chrXIII,9524
YMR046W-A,+,chrXIII,280
YMR047C,-,chrXIII,483
YMR048W,+,chrXIII,56
YMR049C,-,chrXIII,1027
YMR050C,-,chrXIII,65181
YMR050C,-,chrXIII,21580
YMR051C,-,chrXIII,21590
YMR052W,+,chrXIII,115
YMR052C-A,-,chrXIII,10
YMR053C,-,chrXIII,42
YMR054W,+,chrXIII,143
YMR055C,-,chrXIII,1297
YMR056C,-,chrXIII,1327
YMR057C,-,chrXIII,6
YMR058W,+,chrXIII,1049
YMR059W,+,chrXIII,105
YMR060C,-,chrXIII,77
YMR061W,+,chrXIII,166
YMR062C,-,chrXIII,447
YMR063W,+,chrXIII,8
YMR064W,+,chrXIII,108
YMR065W,+,chrXIII,25
YMR066W,+,chrXIII,121
YMR067C,-,chrXIII,140
YMR068W,+,chrXIII,83
YMR069W,+,chrXIII,22
YMR070W,+,chrXIII,524
YMR071C,-,chrXIII,107
YMR072W,+,chrXIII,456
YMR073C,-,chrXIII,163
YMR074C,-,chrXIII,426
YMR075W,+,chrXIII,268
YMR075C-A,-,chrXIII,83
YMR076C,-,chrXIII,547
YMR077C,-,chrXIII,178
YMR078C,-,chrXIII,112
YMR079W,+,chrXIII,287
YMR079W,+,chrXIII,397
YMR080C,-,chrXIII,128
YMR081C,-,chrXIII,248
YMR082C,-,chrXIII,44
YMR083W,+,chrXIII,393
YMR084W,+,chrXIII,51
YMR085W,+,chrXIII,84
YMR086W,+,chrXIII,412
YMR086C-A,-,chrXIII,20
YMR087W,+,chrXIII,61
YMR088C,-,chrXIII,92
YMR089C,-,chrXIII,896
YMR090W,+,chrXIII,177
YMR091C,-,chrXIII,388
YMR092C,-,chrXIII,253
YMR093W,+,chrXIII,136
YMR094W,+,chrXIII,39
YMR095C,-,chrXIII,14
YMR096W,+,chrXIII,56
YMR097C,-,chrXIII,107
YMR098C,-,chrXIII,203
YMR099C,-,chrXIII,229
YMR100W,+,chrXIII,229
YMR101C,-,chrXIII,56
YMR102C,-,chrXIII,324
YMR103C,-,chrXIII,220
YMR104C,-,chrXIII,152
YMR105C,-,chrXIII,29
YMR105W-A,+,chrXIII,2
YMR106C,-,chrXIII,103
YMR107W,+,chrXIII,19
YMR108W,+,chrXIII,535
YMR109W,+,chrXIII,311
YMR110C,-,chrXIII,259
YMR111C,-,chrXIII,84
YMR112C,-,chrXIII,211
YMR113W,+,chrXIII,73
YMR114C,-,chrXIII,169
YMR115W,+,chrXIII,437
YMR116C,-,chrXIII,6764
YMR116C,-,chrXIII,33
YMR117C,-,chrXIII,42
YMR118C,-,chrXIII,48
YMR119W,+,chrXIII,92
YMR119W-A,+,chrXIII,51
YMR120C,-,chrXIII,48
YMR121C,-,chrXIII,310
YMR122C,-,chrXIII,26
YMR122W-A,+,chrXIII,861
YMR123W,+,chrXIII,255
YMR124W,+,chrXIII,526
YMR125W,+,chrXIII,72
YMR125W,+,chrXIII,266
YMR126C,-,chrXIII,49
YMR127C,-,chrXIII,98
YMR128W,+,chrXIII,910
YMR129W,+,chrXIII,214
YMR130W,+,chrXIII,84
YMR131C,-,chrXIII,845
YMR132C,-,chrXIII,201
YMR133W,+,chrXIII,38
YMR133W,+,chrXIII,24
YMR134W,+,chrXIII,397
YMR135W-A,+,chrXIII,6
YMR135C,-,chrXIII,82
YMR136W,+,chrXIII,106
YMR137C,-,chrXIII,78
YMR138W,+,chrXIII,71
YMR139W,+,chrXIII,77
YMR140W,+,chrXIII,107
YMR141C,-,chrXIII,2503
YMR141W-A,+,chrXIII,2
YMR142C,-,chrXIII,8667
YMR142C,-,chrXIII,3
YMR143W,+,chrXIII,82
YMR143W,+,chrXIII,3490
